variant,AICc_joint,AICc_sep_sum,AICc_joint_minus_sep,chi2_joint,k_joint,N_total_joint,shared_s_l,shared_s_b,shared_s_to_CMB,a0,a_bmin,a_mag,boehme_core_to_CMB,wagenveld_core_to_CMB,boehme_r,boehme_R2,wagenveld_r,wagenveld_R2
2MRS_clean,91.96716448281757,102.49400532221469,-10.526840839397124,68.395735911389,11,60,18.701313294678236,36.93565876786465,76.9317793940599,0.015480860107940236,-0.0006746840514111783,0.0055290542963988935,31.830851813211368,27.821524721785668,0.6777282502452378,0.45931558118047155,0.681661090363108,0.46466184211502126
baseline,90.55693723818209,101.34933655878524,-10.792399320603153,66.98550866675352,11,60,19.718083850291997,36.38499875405921,77.86852449369104,0.015521929448596582,-0.0006815581045676303,0.005693619189664202,31.67705116028763,27.77874093078774,0.6776724828487863,0.45923999401043836,0.6812901514654347,0.4641562704837947
