pack,variant,N_total,AICc,chi2,k,dAICc_vs_null,core_ang_to_CMB,core_ang_to_nonQuaia,sys_ang_to_CMB,g_l,g_b,s_l,s_b,a0,a_bmin,a_mag,quaia_r,quaia_p,quaia_R2,quaia_slope,quaia_intercept
boehme,baseline,30,45.76632991177711,27.988552133999338,8,-605.1133751576294,38.602193583225024,2.08121011140661,77.62858946683527,232.4586177261109,19.23812346612781,20.052046550042476,36.89668159161004,0.016824559210560076,-0.0006727004318861034,0.005620894272432035,0.6691950079703436,0.0001352034950022012,0.4478219586924279,1.0249875214355397,-0.0003113634674292952
boehme,2MRS_clean,30,45.74412861153693,27.966350833759147,8,-601.0772376243974,38.51998983965592,2.0514694193412955,77.7018788257463,232.43143649631804,19.354599725354273,19.96961665756379,36.752804785388065,0.016811886297007056,-0.0006790080384536522,0.005654997863784372,0.6694023612241063,0.0001343205485879971,0.4480995212124088,1.017650734070289,-0.00018198462333704132
wagenveld,baseline,30,55.58300664700813,37.805228869230355,8,-604.6204234515006,22.178269727946383,1.5117019516119845,77.93068462054346,239.99301380731077,34.98026161179181,19.293807121489433,36.039403937042394,0.01446225846479043,-0.0006887993757761797,0.005728889358822799,0.6865531302257395,7.67249343286777e-05,0.47135520062276104,1.0153272910089322,-0.00017987467216578137
wagenveld,2MRS_clean,30,56.74987671067776,38.97209893289998,8,-601.7809280509498,21.475099424168622,1.622441053100963,75.92469363321051,239.27508338720907,36.66600311014734,17.253315261091593,37.300274973031485,0.014332094764291373,-0.0006678800069847439,0.00536547591192897,0.6869381113229774,7.573433668353896e-05,0.47188396878797934,1.0427664952631246,-0.0006241235628106703
