variant,angle_s_boehme_vs_wagenveld,s_boehme_l,s_boehme_b,s_wagenveld_l,s_wagenveld_b,boehme_sys_to_CMB,wagenveld_sys_to_CMB,boehme_a_bmin,wagenveld_a_bmin,boehme_a_mag,wagenveld_a_mag
2MRS_clean,2.236522937338307,19.96961665756379,36.752804785388065,17.253315261091593,37.300274973031485,77.7018788257463,75.92469363321051,-0.0006790080384536522,-0.0006678800069847439,0.005654997863784372,0.00536547591192897
baseline,1.0520081157568133,20.052046550042476,36.89668159161004,19.293807121489433,36.039403937042394,77.62858946683527,77.93068462054346,-0.0006727004318861034,-0.0006887993757761797,0.005620894272432035,0.005728889358822799
