pack,variant,obs_name,bmin,mag_num,amp_pred,proj_meas
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,30.0,20.5,0.019639385228899242,0.021352191588751762
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<3,30.0,20.5,0.019639385228899242,0.018732270061444505
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,30.0,20.5,0.019639385228899242,0.018686910117123586
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_none,30.0,20.5,0.019639385228899242,0.01713613916518037
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1,30.0,20.5,0.019639385228899242,0.01820966836706475
boehme,2MRS_clean,Quaia_G20.5_pmSiglt2_z0p6p1p0,30.0,20.5,0.019639385228899242,0.026714419297208827
boehme,2MRS_clean,Quaia_G20.5_pmSiglt2_z1p0p1p5,30.0,20.5,0.019639385228899242,0.019633416487342126
boehme,2MRS_clean,Quaia_G20.5_pmSiglt2_z1p5p3p0,30.0,20.5,0.019639385228899242,0.022099671509968756
wagenveld,baseline,Quaia_G<20.0_pmSig_lt2_0p6_1p0,,,0.01446225846479043,0.013346985062340022
wagenveld,baseline,Quaia_G<20.0_pmSig_lt2_1p0_1p5,,,0.01446225846479043,0.017693473059914686
wagenveld,baseline,Quaia_G<20.0_pmSig_lt2_1p5_3p0,,,0.01446225846479043,0.015241493118401065
wagenveld,baseline,Quaia_maskscan_G20.0_bmin20,20.0,,0.021350252222552227,0.01874555822420924
wagenveld,baseline,Quaia_maskscan_G20.0_bmin25,25.0,,0.01790625534367133,0.01596845940727597
wagenveld,baseline,Quaia_maskscan_G20.0_bmin30,30.0,,0.01446225846479043,0.012002324750041158
wagenveld,baseline,Quaia_maskscan_G20.0_bmin35,35.0,,0.011018261585909532,0.010418116825740733
wagenveld,baseline,Quaia_maskscan_G20.5_bmin20,20.0,,0.021350252222552227,0.023951726396856384
wagenveld,baseline,Quaia_maskscan_G20.5_bmin25,25.0,,0.01790625534367133,0.020217231533680532
wagenveld,baseline,Quaia_maskscan_G20.5_bmin30,30.0,,0.01446225846479043,0.017363755874872037
wagenveld,baseline,Quaia_maskscan_G20.5_bmin35,35.0,,0.011018261585909532,0.015607113839472015
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,30.0,20.0,0.01446225846479043,0.015131843197049516
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_pm_sig<2,30.0,20.0,0.01446225846479043,0.015557902392310205
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,30.0,20.0,0.01446225846479043,0.011645561186885322
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_pm_sig<3,30.0,20.0,0.01446225846479043,0.011559543593671171
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_pm_tot<1,30.0,20.0,0.01446225846479043,0.010507950860187066
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_none,30.0,20.0,0.01446225846479043,0.010279577125209518
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,30.0,20.5,0.01732670314420183,0.01695070995620121
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_sig<2,30.0,20.5,0.01732670314420183,0.019673193200237016
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,30.0,20.5,0.01732670314420183,0.01902948366731958
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_sig<3,30.0,20.5,0.01732670314420183,0.01642262938676551
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,30.0,20.5,0.01732670314420183,0.01633107248075408
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_none,30.0,20.5,0.01732670314420183,0.0148474178889938
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<1,30.0,20.5,0.01732670314420183,0.015851420211394796
wagenveld,baseline,Quaia_G20.5_pmSiglt2_z0p6p1p0,30.0,20.5,0.01732670314420183,0.023171447625628012
wagenveld,baseline,Quaia_G20.5_pmSiglt2_z1p0p1p5,30.0,20.5,0.01732670314420183,0.017070721893454283
wagenveld,baseline,Quaia_G20.5_pmSiglt2_z1p5p3p0,30.0,20.5,0.01732670314420183,0.02009328988470573
wagenveld,2MRS_clean,Quaia_G<20.0_pmSig_lt2_0p6_1p0,,,0.014332094764291373,0.012968068528378411
wagenveld,2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p0_1p5,,,0.014332094764291373,0.017424973767506173
wagenveld,2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p5_3p0,,,0.014332094764291373,0.015238473535331165
wagenveld,2MRS_clean,Quaia_maskscan_G20.0_bmin20,20.0,,0.021010894834138812,0.018695436615632423
wagenveld,2MRS_clean,Quaia_maskscan_G20.0_bmin25,25.0,,0.017671494799215093,0.015870950638442887
wagenveld,2MRS_clean,Quaia_maskscan_G20.0_bmin30,30.0,,0.014332094764291373,0.011896145513671111
wagenveld,2MRS_clean,Quaia_maskscan_G20.0_bmin35,35.0,,0.010992694729367654,0.010284607642745865
wagenveld,2MRS_clean,Quaia_maskscan_G20.5_bmin20,20.0,,0.021010894834138812,0.02372349390494099
wagenveld,2MRS_clean,Quaia_maskscan_G20.5_bmin25,25.0,,0.017671494799215093,0.019975167451244422
wagenveld,2MRS_clean,Quaia_maskscan_G20.5_bmin30,30.0,,0.014332094764291373,0.01711387527234765
wagenveld,2MRS_clean,Quaia_maskscan_G20.5_bmin35,35.0,,0.010992694729367654,0.01538339165480613
