pack,group,obs_name,bmin,mag_num,amp_pred,proj_meas
boehme,boehme-2MRS_clean,Quaia_pmcut_G20.0_bmin30_none,30.0,20.0,0.016818842867274256,0.012601496279287795
boehme,boehme-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,30.0,20.5,0.01963745990485981,0.019306623730817558
boehme,boehme-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<2,30.0,20.5,0.01963745990485981,0.021968930820649376
boehme,boehme-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,30.0,20.5,0.01963745990485981,0.02135555683728188
boehme,boehme-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<3,30.0,20.5,0.01963745990485981,0.01873462089354472
boehme,boehme-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,30.0,20.5,0.01963745990485981,0.01869319655484832
boehme,boehme-2MRS_clean,Quaia_pmcut_G20.5_bmin30_none,30.0,20.5,0.01963745990485981,0.017137013086056113
boehme,boehme-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1,30.0,20.5,0.01963745990485981,0.01821613566238275
boehme,boehme-2MRS_clean,Quaia_G20.5_pmSiglt2_z0p6p1p0,30.0,20.5,0.01963745990485981,0.026710716080682217
boehme,boehme-2MRS_clean,Quaia_G20.5_pmSiglt2_z1p0p1p5,30.0,20.5,0.01963745990485981,0.0196277175055961
boehme,boehme-2MRS_clean,Quaia_G20.5_pmSiglt2_z1p5p3p0,30.0,20.5,0.01963745990485981,0.022105510080715846
wagenveld,wagenveld-baseline,Quaia_G<20.0_pmSig_lt2_0p6_1p0,,,0.014395023320441973,0.013228193095215609
wagenveld,wagenveld-baseline,Quaia_G<20.0_pmSig_lt2_1p0_1p5,,,0.014395023320441973,0.0176118829380849
wagenveld,wagenveld-baseline,Quaia_G<20.0_pmSig_lt2_1p5_3p0,,,0.014395023320441973,0.015278495532089096
wagenveld,wagenveld-baseline,Quaia_maskscan_G20.0_bmin20,20.0,,0.021177610796409164,0.018766664272679652
wagenveld,wagenveld-baseline,Quaia_maskscan_G20.0_bmin25,25.0,,0.01778631705842557,0.015965660752159234
wagenveld,wagenveld-baseline,Quaia_maskscan_G20.0_bmin30,30.0,,0.014395023320441973,0.011994662822511945
wagenveld,wagenveld-baseline,Quaia_maskscan_G20.0_bmin35,35.0,,0.011003729582458377,0.010396797173273712
wagenveld,wagenveld-baseline,Quaia_maskscan_G20.5_bmin20,20.0,,0.021177610796409164,0.023884883169984203
wagenveld,wagenveld-baseline,Quaia_maskscan_G20.5_bmin25,25.0,,0.01778631705842557,0.020143015329700007
wagenveld,wagenveld-baseline,Quaia_maskscan_G20.5_bmin30,30.0,,0.014395023320441973,0.017285313958073173
wagenveld,wagenveld-baseline,Quaia_maskscan_G20.5_bmin35,35.0,,0.011003729582458377,0.015541530005597895
wagenveld,wagenveld-baseline,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,30.0,20.0,0.014395023320441973,0.015098215561782986
wagenveld,wagenveld-baseline,Quaia_pmcut_G20.0_bmin30_pm_sig<2,30.0,20.0,0.014395023320441973,0.015541347981015446
wagenveld,wagenveld-baseline,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,30.0,20.0,0.014395023320441973,0.011545549466872444
wagenveld,wagenveld-baseline,Quaia_pmcut_G20.0_bmin30_pm_sig<3,30.0,20.0,0.014395023320441973,0.011553072282577157
wagenveld,wagenveld-baseline,Quaia_pmcut_G20.0_bmin30_pm_tot<1,30.0,20.0,0.014395023320441973,0.010477525182179445
wagenveld,wagenveld-baseline,Quaia_pmcut_G20.0_bmin30_none,30.0,20.0,0.014395023320441973,0.010280995257146383
wagenveld,wagenveld-baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,30.0,20.5,0.017168490551681164,0.01681104504383824
wagenveld,wagenveld-baseline,Quaia_pmcut_G20.5_bmin30_pm_sig<2,30.0,20.5,0.017168490551681164,0.019564535765855144
wagenveld,wagenveld-baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,30.0,20.5,0.017168490551681164,0.01893027233736945
wagenveld,wagenveld-baseline,Quaia_pmcut_G20.5_bmin30_pm_sig<3,30.0,20.5,0.017168490551681164,0.016325876113491403
wagenveld,wagenveld-baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,30.0,20.5,0.017168490551681164,0.01624113561641249
wagenveld,wagenveld-baseline,Quaia_pmcut_G20.5_bmin30_none,30.0,20.5,0.017168490551681164,0.01476422546010554
wagenveld,wagenveld-baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<1,30.0,20.5,0.017168490551681164,0.015760215573585777
wagenveld,wagenveld-baseline,Quaia_G20.5_pmSiglt2_z0p6p1p0,30.0,20.5,0.017168490551681164,0.02302696722667523
wagenveld,wagenveld-baseline,Quaia_G20.5_pmSiglt2_z1p0p1p5,30.0,20.5,0.017168490551681164,0.016888759042934003
wagenveld,wagenveld-baseline,Quaia_G20.5_pmSiglt2_z1p5p3p0,30.0,20.5,0.017168490551681164,0.020015703959990395
wagenveld,wagenveld-2MRS_clean,Quaia_G<20.0_pmSig_lt2_0p6_1p0,,,0.014395023320441973,0.013077653536038226
wagenveld,wagenveld-2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p0_1p5,,,0.014395023320441973,0.017502103938891973
wagenveld,wagenveld-2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p5_3p0,,,0.014395023320441973,0.015197462346982334
wagenveld,wagenveld-2MRS_clean,Quaia_maskscan_G20.0_bmin20,20.0,,0.021177610796409164,0.018669685405292208
wagenveld,wagenveld-2MRS_clean,Quaia_maskscan_G20.0_bmin25,25.0,,0.01778631705842557,0.01586885139549618
wagenveld,wagenveld-2MRS_clean,Quaia_maskscan_G20.0_bmin30,30.0,,0.014395023320441973,0.011897980577046342
wagenveld,wagenveld-2MRS_clean,Quaia_maskscan_G20.0_bmin35,35.0,,0.011003729582458377,0.010300202725930237
wagenveld,wagenveld-2MRS_clean,Quaia_maskscan_G20.5_bmin20,20.0,,0.021177610796409164,0.02378891368860442
wagenveld,wagenveld-2MRS_clean,Quaia_maskscan_G20.5_bmin25,25.0,,0.01778631705842557,0.020047244418152206
wagenveld,wagenveld-2MRS_clean,Quaia_maskscan_G20.5_bmin30,30.0,,0.014395023320441973,0.017189686845286448
wagenveld,wagenveld-2MRS_clean,Quaia_maskscan_G20.5_bmin35,35.0,,0.011003729582458377,0.015446011509872789
wagenveld,wagenveld-2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,30.0,20.0,0.014395023320441973,0.015001533316317381
wagenveld,wagenveld-2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_sig<2,30.0,20.0,0.014395023320441973,0.015444665735549841
wagenveld,wagenveld-2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,30.0,20.0,0.014395023320441973,0.011448867221406842
wagenveld,wagenveld-2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_sig<3,30.0,20.0,0.014395023320441973,0.011456390037111557
wagenveld,wagenveld-2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<1,30.0,20.0,0.014395023320441973,0.010380842936713841
wagenveld,wagenveld-2MRS_clean,Quaia_pmcut_G20.0_bmin30_none,30.0,20.0,0.014395023320441973,0.01018431301168078
wagenveld,wagenveld-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,30.0,20.5,0.017168490551681164,0.016715417931051517
wagenveld,wagenveld-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<2,30.0,20.5,0.017168490551681164,0.01946890865306842
wagenveld,wagenveld-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,30.0,20.5,0.017168490551681164,0.018834645224582728
wagenveld,wagenveld-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<3,30.0,20.5,0.017168490551681164,0.01623024900070468
wagenveld,wagenveld-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,30.0,20.5,0.017168490551681164,0.016145508503625765
wagenveld,wagenveld-2MRS_clean,Quaia_pmcut_G20.5_bmin30_none,30.0,20.5,0.017168490551681164,0.014668598347318816
wagenveld,wagenveld-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1,30.0,20.5,0.017168490551681164,0.015664588460799055
wagenveld,wagenveld-2MRS_clean,Quaia_G20.5_pmSiglt2_z0p6p1p0,30.0,20.5,0.017168490551681164,0.022876485447767117
wagenveld,wagenveld-2MRS_clean,Quaia_G20.5_pmSiglt2_z1p0p1p5,30.0,20.5,0.017168490551681164,0.01677906195055784
wagenveld,wagenveld-2MRS_clean,Quaia_G20.5_pmSiglt2_z1p5p3p0,30.0,20.5,0.017168490551681164,0.0199345455149931
