pack,variant,model,AICc,core_ang_to_nonQuaia,core_ang_to_CMB,quaia_corr_r,quaia_R2,feats
boehme,2MRS_clean,O2_bmin_mag,45.74412861153693,2.0514694193412955,38.51998983965592,0.6694023612241063,0.4480995212124088,"1,bmin_c,mag_c"
boehme,baseline,O2_bmin_mag,45.76632991177711,2.08121011140661,38.602193583225024,0.6691950079703436,0.4478219586924279,"1,bmin_c,mag_c"
wagenveld,2MRS_clean,O2_bmin_mag,56.74987671067776,1.622441053100963,21.475099424168622,0.6869381113229774,0.47188396878797934,"1,bmin_c,mag_c"
wagenveld,baseline,O2_bmin_mag,55.58300664700813,1.5117019516119845,22.178269727946383,0.6865531302257395,0.47135520062276104,"1,bmin_c,mag_c"
