cut,N,D,l,b,sigma_dir_maskscan_deg,D_std_maskscan
pm_tot<0.5,409480,0.020706232020471636,0.918019315276594,68.06194254504562,14.422024997755157,0.0019383118019611705
pm_sig<2,679784,0.022911507467860845,349.4715359538931,57.91039287159041,14.620144950474092,0.0020196775947674077
pm_tot<1 & pm_sig<2,602438,0.022959074236262082,348.578290804802,62.75865787041205,15.311070963264488,0.0020194050742687866
pm_sig<3,796140,0.02066834746827968,339.84895938575363,62.85991360679963,16.96575060823754,0.002092567795469807
pm_tot<1 & pm_sig<3,659170,0.021643977030049114,341.2963819419078,70.4378851956073,17.06045390719096,0.001844526464665851
none,814063,0.019588962130725335,329.90863569978575,60.05929826506579,17.563382579299713,0.002292966272855128
pm_tot<1,663709,0.02129111731403144,340.08423243642585,71.33186189085995,17.59084419082262,0.00187487555306557
