cut,N,D,l,b,sigma_dir_maskscan_deg,D_std_maskscan
pm_tot<1 & pm_sig<2,380211,0.019219252883197778,327.8157846490171,55.54779214956724,10.512081308311945,0.0022956043901484454
pm_sig<2,386036,0.02018372971349201,325.44336697397017,56.10892620148501,11.189797690380487,0.0022202455944283633
pm_tot<0.5,315955,0.014635709178892575,335.113026566171,66.06554230719196,12.34821797740185,0.002108358805487578
pm_sig<3,452174,0.01796536057389652,305.9364196145558,59.78229318199128,14.436102005349756,0.0021723848343456927
pm_tot<1,436139,0.016523282078648803,303.45824365353246,64.22741672740133,15.236525946658167,0.0021152372625349402
none,462091,0.017449194638222948,299.24203303421183,57.16337670266155,15.491182936490501,0.002248609606404177
