pack,variant,RunM_AICc,RunN_AICc,dAICc_N_minus_M,RunM_s_to_CMB,RunN_s1_to_CMB,ang_s1_s2
boehme,baseline,53.32320157068089,77.4419646918223,24.11876312114142,78.64362354534975,75.73072112424853,90.0
boehme,2MRS_clean,53.44325161313734,77.47078093963091,24.02752932649357,78.7449100910981,75.75303778766464,90.0
wagenveld,baseline,63.444473643848,87.47717315229573,24.032699508447735,78.88543295571789,75.3984040820731,90.0
wagenveld,2MRS_clean,64.65086197192207,88.49630765150792,23.84544567958585,76.88822243507781,73.27226756395143,90.0
