pack,variant,N,BAO_P1_dAICc,BEST_SYS_template,BEST_SYS_dAICc,BAO_g_ang_to_CMB_deg,SYS_g_ang_to_CMB_deg,SYS_s_ang_to_CMB_deg,CMB_distance_to_plane_deg,"ang(SYS_g, nonQuaia_g)_deg","ang(SYS_s, QuaiaOnly_g)_deg","ang(nonQuaia_g, QuaiaOnly_g)_deg",LOO_mean_ang_BAO_deg,LOO_mean_ang_SYS_deg,run
boehme,baseline,6,-37.81150271144629,quaia,-61.68119526309289,6.36208105807845,39.93397310008792,73.3004617914979,0.0926108145319943,0.178291037714334,24.87962084587788,88.34803677030628,12.652139595457802,4.431772233205572,H
boehme,2MRS_clean,6,-37.81150271144629,quaia,-61.68119526309289,6.36208105807845,39.93397310008792,73.3004617914979,0.0926108145319943,0.178291037714334,24.87962084587788,88.34803677030628,12.652139595457802,4.431772233205572,H
wagenveld,baseline,6,-47.68306422687417,quaia,-64.42949378210194,2.914155306468426,22.72507804446668,73.1256494080801,3.0016962750180483,0.1372147786774071,24.73536934870541,70.96873556046953,10.930586133038238,8.683700462198141,H
wagenveld,2MRS_clean,6,-40.90803176210894,quaia,-57.02710720968028,4.527218803312751,22.855740932853312,71.12660535893048,4.62195797438369,0.1288725646032173,22.790527908778248,70.73920577279284,11.559698899209764,9.92512623399024,H
