run,pack,variant,model,template,k,chi2,aicc,dAICc,g_l,g_b,g_to_CMB_deg,s_l,s_b,s_to_CMB_deg
Q,boehme,2MRS_clean,O2_single,,8.0,27.966350833759147,45.74412861153693,,232.43143649631804,19.354599725354277,38.51998983965592,19.96961665756379,36.75280478538807,77.7018788257463
Q,wagenveld,baseline,O2_single,,8.0,37.80522886923036,55.58300664700813,,239.9930138073108,34.98026161179181,22.178269727946383,19.293807121489436,36.0394039370424,77.93068462054346
Q,wagenveld,2MRS_clean,O2_single,,8.0,38.97209893289998,56.74987671067776,,239.2750833872091,36.66600311014734,21.475099424168626,17.253315261091593,37.300274973031485,75.92469363321051
O,boehme,2MRS_clean,O2_bmin_mag,,,,45.74412861153693,,,,38.51998983965592,,,
O,boehme,baseline,O2_bmin_mag,,,,45.76632991177711,,,,38.602193583225024,,,
O,wagenveld,2MRS_clean,O2_bmin_mag,,,,56.74987671067776,,,,21.475099424168626,,,
O,wagenveld,baseline,O2_bmin_mag,,,,55.58300664700813,,,,22.178269727946383,,,
P,boehme+wagentveld_joint,2MRS_clean,O2_joint_shared_operator,,11.0,68.395735911389,91.96716448281757,-10.526840839397124,,,,18.70131329467824,36.93565876786465,76.9317793940599
P,boehme+wagentveld_joint,baseline,O2_joint_shared_operator,,11.0,66.98550866675352,90.55693723818209,-10.792399320603153,,,,19.718083850292,36.38499875405921,77.86852449369104
Q,all4_joint,baseline+2MRS_clean,O2_global_joint_shared_operator_all4,,17.0,135.4277313487873,171.2172050329978,-32.62613684800215,,,,19.213911872181583,36.65904889166329,77.40315031638573
