pack,variant,N_total,BAO_dAICc,RunM_AICc,RunN_dAICc,dAICc_N_minus_M,BAO_ang_to_CMB,nonQuaia_ang_to_CMB,RunN_core_ang_to_CMB,"ang(RunN, nonQuaia)",RunN_s1_ang_to_CMB,RunN_s2_ang_to_CMB,"ang(s1,s2)",dot_s1_s2,chi2_BAO,chi2_RunN,AICc_BAO,AICc_RunN,RunN_g_l,RunN_g_b,RunN_s1_l,RunN_s1_b,RunN_s2_l,RunN_s2_b,a1_1,a1_bmin_c,a1_mag_c,a1_pm_sig,a1_pm_tot,a1_pm_none,a1_z_c,a1_is_pmcut,a2_1,a2_bmin_c,a2_mag_c,a2_pm_sig,a2_pm_tot,a2_pm_none,a2_z_c,a2_is_pmcut,N_quaia,axis1_r,axis1_p,axis1_R2,axis1_slope,axis1_intercept,axis2_r,axis2_p,axis2_R2,axis2_slope,axis2_intercept
boehme,baseline,30,-480.9154432576394,53.63946059330885,-572.5474364046709,24.692808071426818,40.056993171097965,40.071775549113084,40.12459202233596,1.0855086217456178,98.82646337990238,32.637441751609785,90.00000000000001,-5.551115123125783e-17,163.68519204432528,15.604995937462931,169.96426181176713,78.33226866473566,231.20324131042446,18.203785135179306,204.7719458109017,-35.31147464816458,280.94464143897767,18.644558243855553,-0.01931619417253994,0.0004384678264154048,-0.009708288204910681,-0.00015879372481026843,5.331427516297492e-05,0.003012695689982922,0.0021202520370890553,0.0026942300046925104,0.0012684102966836754,-0.0001964694710721475,-0.009374911753438037,0.0007649626922447207,0.00031878056388774635,0.0032150172216559372,0.0028769945154726684,-0.001568611098655186,27,0.8234488783674689,1.3264559760322007e-07,0.678068055284643,1.0215529347893681,0.0007075929174007178,0.8258759550191421,1.1314051264863594e-07,0.6820710930787803,0.9258357373863347,-2.853020842149092e-05
boehme,2MRS_clean,30,-478.02004604837873,53.71540756179969,-568.4784853770072,24.627473297127345,40.27653204588489,39.96286835924009,40.00458932130127,1.066905355112144,98.52089118783029,32.248577766307044,90.00000000000001,-1.6653345369377348e-16,162.5222504201137,15.615608131654316,168.80132018755555,78.34288085892703,231.1937120695488,18.35484353418756,205.03765711198085,-35.090806296816645,280.97813688041924,19.073950938590198,-0.019307180121710732,0.00044069768152539866,-0.009749224241773071,-0.00015865530375573688,6.931103701083185e-05,0.0030157921679155805,0.0021512043286766496,0.002687839253744968,0.0013102204741929618,-0.00020108767144467703,-0.009371305391042384,0.0007713780587735572,0.00038275257233515153,0.0032281068216903817,0.0028956702671817745,-0.0015736780510257438,27,0.8239520868841262,1.2836815907600776e-07,0.6788970414807072,1.0201190448088433,0.0006828809514941858,0.8264472395061963,1.0894469816255746e-07,0.6830150396874124,0.9259247919500599,-1.0447987799304176e-05
wagenveld,baseline,30,-481.5917706664412,63.93151086373725,-571.6315190534365,24.640400181335004,39.51267448062449,23.01486265386646,22.85721949945529,1.083974184437946,98.12059157668699,32.571189974809045,90.0,1.1102230246251565e-16,172.33258966462566,25.844638317799536,178.6116594320675,88.57191104507226,239.22828889434928,34.652669811034755,204.81562755342773,-34.47156992846962,281.270957128086,18.83607709569084,-0.01609225484095295,0.0004533011820850422,-0.009662203662138831,-0.00015450537648059034,8.020842871617048e-05,0.003044332710929313,0.0009578613740250338,0.0025183626836103056,0.0012332317406347452,-0.00020105200029085958,-0.009335611003091809,0.0007699849917408745,0.00034612973727873994,0.0032043824175630197,0.002959638809628213,-0.0015964560317923801,27,0.8178120948172489,1.9018570168671895e-07,0.6688166224293771,1.0255151803090965,0.0007104907671251146,0.8261481203240213,1.1112368885817851e-07,0.6825207167149137,0.9241336106546424,-3.178991462966167e-05
wagenveld,2MRS_clean,30,-478.8016214955792,65.16051772999369,-568.8820440032162,24.4882430284177,40.50638294754872,22.371877115274632,22.09323827651702,1.0690920361268326,100.43026661349917,33.615035644157636,90.0,0.0,173.45011349860653,26.921488031138665,179.72918326604838,89.64876075841138,238.42041524739972,36.51984082114477,202.477141827995,-35.939755092431135,279.5667482568998,17.129390153360557,-0.01580430960890631,0.00045379059287002004,-0.009251510085978335,-0.0001697589296264666,5.4426657825198655e-05,0.0029233553177050063,0.0007262108457311422,0.0025504593613648674,0.0012796659835623402,-0.00018303669955065634,-0.009730316043763567,0.0007772344367108681,0.0003649167264135169,0.0033492615462509634,0.0027124193694735062,-0.0015758626511996876,27,0.815502434782046,2.1966804732214788e-07,0.665044221135445,1.0340026111088152,0.0008384763249873264,0.8236712131153687,1.3074003184357605e-07,0.6784342673149432,0.9160061499130034,-4.7279800476673125e-05
