N,D,l,b,z_mean,sigma_dir,sigma_mag,Dstd,shot,zbin,zlo,zhi
122284,0.02688663152585378,339.20052465829923,50.75651052616634,0.8184481912564778,20.710043356551147,0.006189215274097182,0.003711243929927462,0.004953085321463221,0.6-1.0,0.6,1.0
200936,0.018937072982380374,349.1024541547054,46.8351195385935,1.2607082545033923,16.449591575544808,0.005209495122527202,0.003494096796887713,0.0038639522519841943,1.0-1.5,1.0,1.5
356564,0.024333456757371183,355.57601802566626,65.15809740300494,2.057584213322741,9.496577870075022,0.0030571921916657152,0.0009658091292899492,0.002900626970598255,1.5-3.0,1.5,3.0
