N,D,l,b,z_mean,sigma_dir,sigma_mag,Dstd,shot,zbin,zlo,zhi
70521,0.018081577527363207,314.6367476056161,59.410264912986825,0.8180457891365732,24.269888407777966,0.007280965119535412,0.0032360366541092835,0.006522309395080281,0.6-1.0,0.6,1.0
115392,0.02032611540959731,338.7262021950318,49.637401631455425,1.2593244815869629,10.100323703954537,0.005967880312934136,0.0031011706375202344,0.005098856352800026,1.0-1.5,1.0,1.5
200123,0.02111643732643451,319.61999973721584,57.98087853649593,2.063375928734873,7.9490563965935666,0.004173651559954427,0.0015583923363588538,0.003871792952869254,1.5-3.0,1.5,3.0
