variant,angle_s_boehme_vs_wagenveld,s_boehme_l,s_boehme_b,s_wagenveld_l,s_wagenveld_b,boehme_sys_to_CMB,wagenveld_sys_to_CMB,boehme_a_bmin,wagenveld_a_bmin,boehme_a_mag,wagenveld_a_mag,run
2MRS_clean,2.236522937338307,19.96961665756379,36.75280478538807,17.253315261091593,37.300274973031485,77.7018788257463,75.92469363321051,-0.0006790080384536,-0.0006678800069847,0.0056549978637843,0.0053654759119289,P
baseline,1.0520081157568133,20.05204655004248,36.89668159161004,19.293807121489436,36.0394039370424,77.62858946683527,77.93068462054346,-0.0006727004318861,-0.0006887993757761,0.005620894272432,0.0057288893588227,P
