pack,variant,baseline_dAICc_N_minus_M,lambda_cross_0_est,s2_true_l,s2_true_b,run
boehme,baseline,24.118839573081992,0.0056577974120274,323.0278577464271,-35.82959697263436,R
boehme,2MRS_clean,24.027563289377788,0.0047766367516507,284.50807859989163,8.820855501412384,R
wagenveld,baseline,24.032697578880157,0.0057453551255937,292.7503368525981,-3.303944233585554,R
wagenveld,2MRS_clean,23.845410194332374,0.0046838568511063,163.46018409597582,47.60279430171214,R
