pack,angle_s_baseline_vs_2MRS,s_baseline_l,s_baseline_b,s_2MRS_l,s_2MRS_b,run
boehme,0.1582854011846263,20.05204655004248,36.89668159161004,19.96961665756379,36.75280478538807,Q
wagenveld,2.065927759868899,19.293807121489436,36.0394039370424,17.253315261091593,37.300274973031485,Q
