name,variant,survey,band,freq_MHz,flux_or_mag_cut,D_obs,D_obs_err,RA_deg,RA_err_deg,Dec_deg,Dec_err_deg,l_deg,b_deg,sigma_dir_deg_approx,x_count_slope,alpha_spectral,beta_assumed,D_kin_from_x_alpha,D_ratio_obs_over_kin,reference,notes,z_mean,z_notes
Quaia_G20p5,baseline,Quaia quasars (Gaia–unWISE),optical/IR,,G < 20.5; |b|≥30°; debias via provided random_10x,0.022130377521332182,0.0032874939602864153,207.74514840109427,17.737202675754453,5.034256449275559,17.737202675754453,338.2721180756576,63.74259986860161,17.737202675754453,1.1903163760360735,0.0,0.00123,0.00392408914252437,5.639621506430838,Quaia dataset (Gaia–unWISE quasar catalogue); dipole computed locally from provided FITS + random_10x,"sigma_dir from direction variation under |b| mask changes (20°,25°,30°); D_obs_err combines shot-noise + mask-variation std (20–30).",1.55604088306427,Mean redshift computed from redshift_quaia for selected sky and magnitude cut.
Quaia_G20p5,2MRS_clean,Quaia quasars (Gaia–unWISE) [no 2MRS clean],optical/IR,,G < 20.5; |b|≥30°; debias via provided random_10x,0.022130377521332182,0.0032874939602864153,207.74514840109427,17.737202675754453,5.034256449275559,17.737202675754453,338.2721180756576,63.74259986860161,17.737202675754453,1.1903163760360735,0.0,0.00123,0.00392408914252437,5.639621506430838,Quaia dataset (Gaia–unWISE quasar catalogue); dipole computed locally from provided FITS + random_10x,"sigma_dir from direction variation under |b| mask changes (20°,25°,30°); D_obs_err combines shot-noise + mask-variation std (20–30).",1.55604088306427,Mean redshift computed from redshift_quaia for selected sky and magnitude cut.
