magcut,bmin,Nd,Nr,D_obs,l_deg,b_deg,RA_deg,Dec_deg,z_mean
G20.0,20,660631,6546061,0.02393671196401519,327.0927967911493,48.74051790804943,208.82616766331086,-11.112105791861964,1.5216184854507446
G20.0,25,597964,5917258,0.020954668474330283,323.93266363049025,54.01843668163838,205.10307979479495,-6.844361241644294,1.5258492231369019
G20.0,30,530364,5240059,0.01829222210319662,307.5761499766346,61.41110960998166,195.08061242173787,-1.380499105121186,1.529037594795227
G20.0,35,461907,4555045,0.017807937947119067,290.99262708528823,71.81660299148865,189.10873860983787,9.293494483882476,1.531247854232788
G20.5,20,1142086,11323396,0.02755884985780695,343.638654220839,46.25930802385855,219.93812941806894,-7.8755094232428835,1.5471723079681396
G20.5,25,1034968,10251250,0.024128333747455488,341.2752683174821,54.24713879181899,214.12784926076276,-2.1661458280993533,1.5523033142089844
G20.5,30,917566,9082545,0.022130377521332182,338.2721180756576,63.74259986860161,207.74514840109427,5.034256449275559,1.55604088306427
G20.5,35,797352,7892522,0.022585556085937757,330.20859219022526,75.25755983517496,199.75872489181748,13.867479251119368,1.5588762760162354
