file,variant,delta_aicc,g_l,g_b,beta_fit,aeff_cv,aeff_min,aeff_max,mean_angle,std_angle,n_tracers
wagenveld_bao_baseline.txt,baseline,-61.114971,260.26,52.346,0.22983801,0.19741053184315743,0.0064192437,0.011908408,41.87,10.72,6
wagenveld_bao_2mrs_clean.txt,2MRS_clean,-53.559163,260.456,54.028,0.21731111,0.19741052785038313,0.0060693746,0.011259362,42.96,9.1,6
lotss_bao_baseline.txt,baseline,-51.208213,254.933,46.822,0.23249133,0.197410530127058,0.0064933493,0.012045882,39.25,19.28,6
lotss_bao_2mrs_clean.txt,2MRS_clean,-51.208213,254.933,46.822,0.23249133,0.197410530127058,0.0064933493,0.012045882,39.25,19.28,6
