pack,variant,BAO_only_dAICc,OP_dAICc,BAO_ang_to_CMB,OP_ang_to_CMB,OP_g_l,OP_g_b,OP_s_l,OP_s_b,OP_s_ang_to_CMB,a0,a1_bmin,a2_mag,chi2_BAO,chi2_OP
boehme,baseline,-153.15607313912045,-237.581577584796,23.514771967048798,39.95731807293361,230.05115411454278,19.16379996830507,11.568041317729097,36.92878459789982,73.27387631088574,0.017484990780843007,-0.00046685908042305886,0.005088984784782059,105.68622439471628,7.528662532772769
boehme,2MRS_clean,-152.14954894590824,-235.92945744221288,23.708287920087635,39.842713287848596,230.0378364779396,19.313453485198963,11.569146384862556,36.87055064247799,73.31806595876344,0.017485860749236252,-0.0004711687222111326,0.004983252242055387,105.00653852330606,7.494572610733509
wagenveld,baseline,-162.84375803806398,-239.98526031354217,23.36598282374597,23.019308704479187,237.91009130295203,35.580404493950326,9.774664429636351,36.09165822468383,72.9368777949018,0.015072734838072947,-0.00047684614803554585,0.005019937975794595,108.40464396873307,17.531084276986952
wagenveld,2MRS_clean,-156.35468659639417,-234.07045352667035,25.13989827278487,22.416437509468,237.03435821998534,37.38024771949523,7.593406016856794,37.21014735205396,70.92860101733356,0.01491023936095404,-0.0004669965143728219,0.004983835989499443,109.9181958327936,18.47037148624949
