group,N_quaia,r,p,R2
boehme-2MRS_clean,27,0.6777293944975328,0.00010280916018377192,0.45931713216599257
boehme-baseline,27,0.6776909504126487,0.00010293812715063988,0.4592650242711993
wagenveld-2MRS_clean,27,0.6817000291651821,9.023381614124599e-05,0.46471492976381046
wagenveld-baseline,27,0.681282584615932,9.148855238227943e-05,0.46414596010096465
