group,obs_name,bmin,mag_num,amp_pred,proj_meas
boehme-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,30.0,20.5,0.01830786147036464,0.020323853729215312
boehme-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<3,30.0,20.5,0.01830786147036464,0.01771134611526139
boehme-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,30.0,20.5,0.01830786147036464,0.017645582035749157
boehme-2MRS_clean,Quaia_pmcut_G20.5_bmin30_none,30.0,20.5,0.01830786147036464,0.01613125931331052
boehme-2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1,30.0,20.5,0.01830786147036464,0.017166568948800136
boehme-2MRS_clean,Quaia_G20.5_pmSiglt2_z0p6p1p0,30.0,20.5,0.01830786147036464,0.025156942598827784
boehme-2MRS_clean,Quaia_G20.5_pmSiglt2_z1p0p1p5,30.0,20.5,0.01830786147036464,0.01847631178427651
boehme-2MRS_clean,Quaia_G20.5_pmSiglt2_z1p5p3p0,30.0,20.5,0.01830786147036464,0.02121228780221081
wagenveld-baseline,Quaia_G<20.0_pmSig_lt2_0p6_1p0,,,0.015501791028314841,0.014474645277111177
wagenveld-baseline,Quaia_G<20.0_pmSig_lt2_1p0_1p5,,,0.015501791028314841,0.018498745793324584
wagenveld-baseline,Quaia_G<20.0_pmSig_lt2_1p5_3p0,,,0.015501791028314841,0.01589723775326905
wagenveld-baseline,Quaia_maskscan_G20.0_bmin20,20.0,,0.022283071148241684,0.019490207839944165
wagenveld-baseline,Quaia_maskscan_G20.0_bmin25,25.0,,0.01889243108827826,0.01671743592159147
wagenveld-baseline,Quaia_maskscan_G20.0_bmin30,30.0,,0.015501791028314841,0.012767849873363333
wagenveld-baseline,Quaia_maskscan_G20.0_bmin35,35.0,,0.01211115096835142,0.011203957702249998
wagenveld-baseline,Quaia_maskscan_G20.5_bmin20,20.0,,0.022283071148241684,0.024641286158531256
