pack,AICc_joint,AICc_sep_sum,AICc_joint_minus_sep,chi2_joint,k_joint,shared_s_l,shared_s_b,shared_s_to_CMB,a0,a_bmin,a_mag,core_baseline_to_CMB,core_2MRS_to_CMB,beta_baseline,beta_2MRS
boehme,79.52699330320125,91.51045852331404,-11.983465220112791,55.95556473177268,11,20.008531893751,36.822805423418785,77.6656530697258,0.016818842867274256,-0.0006758331323780277,0.0056372340751711094,38.57743471781502,38.54801553296369,0.23892887046773162,0.23882961489015522
wagenveld,100.4405455834989,112.33288335768589,-11.892337774186984,76.86911701207033,11,18.293321463646805,36.67101877684365,76.93574429597747,0.014395023320441973,-0.0006782587475967191,0.005546934462478383,22.029855239609624,21.61749061744685,0.21528972533381224,0.20877775563350176
