pack,angle_s_baseline_vs_2MRS,s_baseline_l,s_baseline_b,s_2MRS_l,s_2MRS_b
boehme,0.15828540118462636,20.052046550042476,36.89668159161004,19.96961665756379,36.752804785388065
wagenveld,2.065927759868899,19.293807121489433,36.039403937042394,17.253315261091593,37.300274973031485
