pack,variant,AICc,chi2,k,g_l,g_b,beta,s_l,s_b,a0,a_bmin,a_mag,core_to_CMB,sys_to_CMB
boehme,baseline,45.76632991177711,27.988552133999338,8,232.4586177261109,19.23812346612781,0.23873961144325984,20.052046550042476,36.89668159161004,0.016824559210560076,-0.0006727004318861034,0.005620894272432035,38.602193583225024,77.62858946683527
boehme,2MRS_clean,45.74412861153693,27.966350833759147,8,232.43143649631804,19.354599725354273,0.23900060540750118,19.96961665756379,36.752804785388065,0.016811886297007056,-0.0006790080384536522,0.005654997863784372,38.51998983965592,77.7018788257463
wagenveld,baseline,55.58300664700813,37.805228869230355,8,239.99301380731077,34.98026161179181,0.21984148815532492,19.293807121489433,36.039403937042394,0.01446225846479043,-0.0006887993757761797,0.005728889358822799,22.178269727946383,77.93068462054346
wagenveld,2MRS_clean,56.74987671067776,38.97209893289998,8,239.27508338720907,36.66600311014734,0.2042566174450251,17.253315261091593,37.300274973031485,0.014332094764291373,-0.0006678800069847439,0.00536547591192897,21.475099424168622,75.92469363321051
