pack,variant,model,template,drop,g_l,g_b,dAICc,chi2,aicc,success,s_l,s_b,gamma
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5.csv,2MRS_clean,BAO_P1+SYS,radio,NVSS,244.16615499974296,55.8457625665369,,3.550262688580282e-24,,True,32.252048881387964,31.030847881027764,0.01305810252233614
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5.csv,2MRS_clean,BAO_P1+SYS,radio,RACS_low,233.9445767510202,20.95770559047883,,6.8107315445119e-24,,True,189.359462553512,-20.410289684330873,-0.004289817395341674
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5.csv,2MRS_clean,BAO_P1+SYS,radio,CatWISE_W1lt16p5,272.30895098912447,62.95359803388665,,3.975134222135283,,True,269.24814206161136,59.40229144258447,-0.00035568070578493227
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1,-,CatWISE_W1lt16p5,321.0103838576857,55.27452321975907,-27.537903526331334,18.046560325857904,26.228378507676084,True,,,
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1,-,LoTSS_DR2,256.10856763743834,43.86719715298092,-28.643753795028232,40.1688519553035,48.35067013712168,True,,,
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1,-,NVSS,260.35763160370834,47.22085636939549,-27.766824951808623,38.966443273103636,47.148261454921816,True,,,
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1,-,Quaia_G<20.0_pmSig_lt2_0p6_1p0,251.65887979052718,40.30986676074468,-35.23412862000604,37.467286559133726,45.649104740951906,True,,,
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1,-,Quaia_G<20.0_pmSig_lt2_1p0_1p5,245.5889701120053,37.23258377388298,-40.33942238553885,27.334398344714153,35.51621652653233,True,,,
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1,-,Quaia_G<20.0_pmSig_lt2_1p5_3p0,244.55080501380849,34.50108932827336,-34.57830804167615,23.88367600028379,32.06549418210197,True,,,
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,radio,CatWISE_W1lt16p5,307.55956062472035,55.684282004004395,-27.73423049306167,3.532051540945748,26.032051540945748,True,195.39828634567093,-32.66580046814727,0.01799873301020795
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,radio,LoTSS_DR2,252.8726775163596,41.064989175788625,-16.12517496423294,38.369248967916974,60.869248967916974,True,216.58028497506467,-15.511625786968228,0.005826146635462625
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,radio,NVSS,255.3375981136533,44.1284643082175,-13.717713019737687,38.69737338699275,61.19737338699275,True,215.1476978976918,-6.470775888913364,0.003564591362806096
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,radio,Quaia_G<20.0_pmSig_lt2_0p6_1p0,245.10572295094715,33.400689251653795,-22.76124245319882,35.62199090775913,58.12199090775913,True,217.48985591637353,-12.535487237701275,0.0049991391490064934
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,radio,Quaia_G<20.0_pmSig_lt2_1p0_1p5,242.81998807002532,32.75048012578175,-26.851296442411638,26.504342469659544,49.00434246965955,True,224.28327569547253,-14.06421460531108,0.0033512877283680877
