pack,variant,obs_name,is_quaia,group,source,bmin,mag_num,pm_sig_max,pm_tot_max,pm_is_none,z_mean,w_bao,proj_residual_on_s,amp_pred
boehme,baseline,Quaia_G20.5_pmSiglt2_z1p0p1p5,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,1.2607082545033923,0.03776028513879305,0.019922347880032366,0.023571184555095593
boehme,baseline,Quaia_G20.5_pmSiglt2_z1p5p3p0,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,2.057584213322741,0.02793662036191585,0.022273351318911262,0.021773699113542908
boehme,2MRS_clean,CatWISE_W1lt16p5,0,nonquaia,pack,,,,,0,1.2,0.03906009838169246,-0.0009091791878210926,0.0
boehme,2MRS_clean,LoTSS_DR2,0,nonquaia,pack,,,,,0,1.0,0.04449383069146858,0.0070466699957513245,0.0
boehme,2MRS_clean,NVSS,0,nonquaia,pack,,,,,0,1.0,0.04449383069146858,0.002003481510944284,0.0
boehme,2MRS_clean,Quaia_G<20.0_pmSig_lt2_0p6_1p0,1,quaia_bin,pack,,,,,0,0.8180457891365732,0.05181921011829311,0.01727788399028965,0.020275679507207513
boehme,2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p0_1p5,1,quaia_bin,pack,,,,,0,1.2593244815869629,0.037788479366085766,0.020533606849580097,0.019286100561887183
boehme,2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p5_3p0,1,quaia_bin,pack,,,,,0,2.063375928734873,0.027893503000458914,0.01733630209837867,0.017482994278568576
boehme,2MRS_clean,Quaia_maskscan_G20.0_bmin20,1,quaia_maskscan,maskscan,20.0,,,,0,1.5216184854507446,0.03338237692235073,0.021220782201491303,0.024329271464501596
boehme,2MRS_clean,Quaia_maskscan_G20.0_bmin25,1,quaia_maskscan,maskscan,25.0,,,,0,1.525849223136902,0.03332402739686681,0.018466014757950646,0.02150409791097452
boehme,2MRS_clean,Quaia_maskscan_G20.0_bmin30,1,quaia_maskscan,maskscan,30.0,,,,0,1.529037594795227,0.03328027277260123,0.01452302195751433,0.018681261890376423
boehme,2MRS_clean,Quaia_maskscan_G20.0_bmin35,1,quaia_maskscan,maskscan,35.0,,,,0,1.531247854232788,0.033250050621271635,0.012974150870617738,0.01586061931187374
boehme,2MRS_clean,Quaia_maskscan_G20.5_bmin20,1,quaia_maskscan,maskscan,20.0,,,,0,1.5471723079681396,0.03303492283183039,0.02641187769169389,0.024271966352860587
boehme,2MRS_clean,Quaia_maskscan_G20.5_bmin25,1,quaia_maskscan,maskscan,25.0,,,,0,1.5523033142089844,0.032966570487085095,0.022707087839810444,0.021444773923683966
boehme,2MRS_clean,Quaia_maskscan_G20.5_bmin30,1,quaia_maskscan,maskscan,30.0,,,,0,1.55604088306427,0.03291707161611928,0.019883499073587035,0.018620706314087264
boehme,2MRS_clean,Quaia_maskscan_G20.5_bmin35,1,quaia_maskscan,maskscan,35.0,,,,0,1.5588762760162354,0.032879683102633325,0.0181620984917145,0.01579866185741903
boehme,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.0,2.0,1.0,0,1.529037594795227,0.03328027277260123,0.017638631272561243,0.016025332574624674
boehme,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.0,2.0,,0,1.529037594795227,0.03328027277260123,0.018062669921927437,0.01612540496628481
boehme,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,0.5,0,1.529037594795227,0.03328027277260123,0.014193394334150615,0.015364428479930642
boehme,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_sig<3,1,quaia_pmcut,quaia_pmcut,30.0,20.0,3.0,,0,1.529037594795227,0.03328027277260123,0.014075195953044257,0.016480875111546858
boehme,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<1,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,1.0,0,1.529037594795227,0.03328027277260123,0.013040318048437062,0.015314392284100574
boehme,2MRS_clean,Quaia_pmcut_G20.0_bmin30_none,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,,1,1.529037594795227,0.03328027277260123,0.0127881757051481,0.013347094284154547
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,0.5,0,1.55604088306427,0.03291707161611928,0.019507672398523256,0.018858638150621672
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.5,2.0,,0,1.55604088306427,0.03291707161611928,0.02218619357850235,0.019619614636975837
