pack,variant,N_total,BAO_all_dAICc,RunM_dAICc,BAO_all_ang_to_CMB,nonQuaia_ang_to_CMB,RunM_core_ang_to_CMB,"ang(RunM, nonQuaia)",RunM_s_ang_to_CMB,"CMB_dist_to_plane_{g,s}",chi2_BAO,chi2_RunM,AICc_BAO,AICc_RunM,RunM_g_l,RunM_g_b,RunM_s_l,RunM_s_b,a_1,a_bmin_c,a_mag_c,a_pm_sig,a_pm_tot,a_pm_none,a_z_c,a_is_pmcut,quaia_r,quaia_p,quaia_r2,meas_vs_pred_slope,meas_vs_pred_intercept,N_quaia
boehme,baseline,30,-480.9154432576394,-597.2402444760977,40.056993171097965,40.071775549113084,39.78298766128292,1.3213353030281982,77.96671652293355,3.5388614865587016,163.68519204432528,22.84998690909832,169.96426181176713,53.63946059330885,231.58700317361965,18.370107419594575,20.002662535532586,36.43835586414329,0.019894083108478906,-0.0005583326794980479,0.007115592929309843,0.0003536877713630195,-9.777601647643336e-05,-0.0020780724951181915,-0.0022556652910144773,-0.003271024742126134,0.8182973482623832,1.8446633139566385e-07,0.6696105501732479,0.9992063805738609,-0.00028946815090232295,27
boehme,2MRS_clean,30,-478.02004604837873,-593.1059586741346,40.27653204588489,39.96286835924009,39.65141343660256,1.3008392787236864,78.0711624015029,3.576801300841126,162.5222504201137,22.925933877589156,168.80132018755555,53.71540756179969,231.57784581508406,18.5346357766402,19.99764692656609,36.30317906952946,0.019867642456782592,-0.0005631372028451797,0.007109530493960374,0.0003554701452620492,-0.00010007239166013622,-0.0020673703916061614,-0.002242526009640915,-0.003266797214615714,0.8184427189864132,1.8278346874244678e-07,0.6698484842618728,0.9981449214289833,-0.00026799278453106326,27
wagenveld,baseline,30,-481.5917706664412,-596.2719192347715,39.51267448062449,23.01486265386646,22.789818795446816,1.3531482684815774,78.1250944820892,5.110645830273981,172.33258966462566,33.142037179526724,178.6116594320675,63.93151086373725,239.50954870938656,34.51172054515612,19.261091833463617,35.77201463638388,0.01668645228047228,-0.0005770138949780549,0.006967995554528334,0.0003585431019999444,-0.00010628560904619752,-0.002069620625557311,-0.0010769280673324608,-0.0031133387311074482,0.8129188126166439,2.5749297341790504e-07,0.6608369959060543,1.00379450761328,-0.00036360143512573564,27
wagenveld,2MRS_clean,30,-478.8016214955792,-593.3702870316339,40.50638294754872,22.371877115274632,22.016731349241606,1.557572140085589,76.14730550031919,6.187280974303846,173.45011349860653,34.37104404578316,179.72918326604838,65.16051772999369,238.88288589342096,36.2023250612252,17.301803966415978,37.04488691972007,0.01636981119687205,-0.0005603429831737566,0.006641976674071688,0.00036108833025267045,-8.418285445710128e-05,-0.0019771090693675324,-0.0008355498402415674,-0.0030918736238373717,0.8117418465321788,2.7659859903169563e-07,0.6589248254114712,1.020557506142632,-0.0006315430160874075,27
