pack,variant,N_total,N_nonquaia,BAO_only_ang_to_CMB,nonQuaia_ang_to_CMB,RunLq_k1_core_ang_to_CMB,"ang(RunLq_k1, nonQuaia)",RunLq_k1_s1_ang_to_CMB,"CMB_dist_to_plane_{g,s1}",expl_var_BAO,expl_var_RunLq_k1,RunLq_k1_core_l,RunLq_k1_core_b,chi2_BAO,chi2_RunLq_k1
boehme,baseline,30,3,40.056993490346024,40.071775633877955,24.385696151943154,16.77758991838776,95.872764783425,6.42431133610034,0.7542763586113408,0.9455000899242207,236.68551243237718,34.650739892149886,163.68519204432522,23.5797012334624
boehme,2MRS_clean,30,3,40.27653267380706,39.96286817552921,24.239507754929075,16.74108503355791,95.84082209879675,6.319349106285355,0.7550144544492304,0.9455218674401771,236.8955168048958,34.67805029377805,162.52225042011366,23.5916368521914
wagenveld,baseline,30,3,39.512674756960614,23.014862747233842,16.0337692312953,8.358368708345795,96.3693150944852,7.396588657721117,0.7638508984795964,0.9378648564915574,242.19688221036165,43.0929704782881,172.33258966462566,32.22612464171357
wagenveld,2MRS_clean,30,3,40.50638279972089,22.371877332278302,15.652240829357023,8.264045756269885,98.19484992355108,8.40486267767377,0.765445054805119,0.9356902027450783,241.8006349782765,44.69211320044959,173.45011349860656,33.48398918156575
