iter,l,b,beta,dAICc,dAIC,chi2,chi2_null,dtheta_cmb,success
0,248.80713023716012,21.626535550588986,0.23208412377617282,-37.57776229519964,-42.37776229519964,6.6288153359497795,55.00657763114942,29.27833716760174,True
1,246.40933307091694,42.02088607050402,0.2544996082334199,-48.8481035586626,-53.6481035586626,3.876854647564819,63.52495820622742,13.854885147253903,True
2,220.97557737352702,26.17557805355476,0.19573311782247005,-21.97593246714885,-26.775932467148852,3.7648988244284465,36.5408312915773,40.01983937706638,True
3,231.3125959632036,15.648984426557854,0.28441528712571773,-58.246353368419776,-63.04635336841977,3.387217430939412,72.43357079935919,42.204941413770975,True
4,208.8622744042769,21.032045162134892,0.2736295019413982,-47.53243291961324,-52.33243291961324,4.751969091796186,63.08440201140942,51.477494086429815,True
5,234.83470115669928,31.919849172509146,0.19909330371564596,-25.295069539070017,-30.095069539070018,1.7815364007222882,37.876605939792306,27.390789535288686,True
6,219.68895822914658,19.45368525013938,0.2484327186150614,-40.288414723386936,-45.08841472338693,2.9729579380684408,54.06137266145537,45.76759701734877,True
7,225.60246307359867,15.028927793647469,0.25498429716984394,-43.33892301459895,-48.138923014598944,13.049221473216317,67.18814448781526,45.78880013688223,True
8,222.72194661049835,20.429986485738894,0.25942836019343685,-46.02918316416057,-50.82918316416057,5.036926567175722,61.866109731336294,43.18071741273293,True
9,231.56551042383424,28.910472173745838,0.20318516551674132,-26.289643615758237,-31.089643615758234,8.642209920000687,45.73185353575892,31.513479783173413,True
10,226.99772630347536,23.527511158610597,0.22671567306739177,-33.96885128201404,-38.76885128201404,14.579583958077372,59.34843524009141,38.256944906902724,True
11,195.79085506066593,23.816488701592988,0.29797468905294444,-52.40992940740726,-57.209929407407266,6.720870165149598,69.93079957255686,58.18377021502173,True
12,240.84382469342353,2.632450439825491,0.20094966223735933,-21.354876748767985,-26.154876748767986,2.938430996236047,35.09330774500403,49.77994007414079,True
13,228.23321235313512,25.467654132746397,0.2694974694514859,-53.166631488707864,-57.96663148870787,12.653842683672687,76.62047417238055,36.05427840550545,True
14,210.91549514787215,11.523204629325974,0.24319210238560054,-33.564008883637634,-38.36400888363763,4.610137931678926,48.97414681531656,57.26732937564911,True
15,227.22423922556237,11.586583703989131,0.24907598125313551,-40.14853905163805,-44.94853905163805,2.7168778597445558,53.66541691138261,47.76522466163922,True
16,231.7407169616916,20.86675756303076,0.22553600368632185,-33.77860408235803,-38.57860408235803,2.0983459978528423,46.67695008021087,37.64908348867111,True
17,240.6276421889865,15.47744363923896,0.27861850048030534,-56.753986696147564,-61.55398669614756,8.994830155235649,76.54881685138321,37.99628909812253,True
18,233.51790444135412,28.228721540787962,0.2590218221377467,-49.708420855623416,-54.50842085562341,2.6404912962025815,63.148912151825996,30.867501676084363,True
19,246.59984364405983,2.9355553103686374,0.2781486447888678,-51.11318083797035,-55.91318083797035,3.2752384240043932,65.18841926197474,47.72606049175753,True
20,230.81004619559226,22.338256914420352,0.20873801388413818,-27.49931995763146,-32.29931995763146,11.366334510729935,49.665654468361396,36.97975943951041,True
21,245.30543315002473,16.875317484842306,0.2913778265759661,-63.870901704306135,-68.67090170430613,3.9480438477147537,78.61894555202089,34.90899029130111,True
22,225.31481973691496,0.7574044740478291,0.2420902441893401,-33.27199057718205,-38.071990577182056,12.27953754031251,56.35152811749457,58.033997788487376,True
23,228.6762916871695,20.26534812504169,0.2202723645436259,-31.182343527283766,-35.98234352728377,3.9875829292380507,45.96992645652182,39.83237512142084,True
24,234.33665967071028,19.644816449206992,0.2702738882930344,-53.34080851394383,-58.140808513943824,3.919095408215611,68.05990392215944,37.2861434587433,True
25,233.62591468615454,21.12680863242982,0.30837563775449606,-73.07567101867852,-77.87567101867852,5.46152762005976,89.33719863873827,36.424466720282254,True
26,235.6428000601204,25.70997119324506,0.19313007120375866,-22.790768919406954,-27.590768919406955,11.632988107859214,45.22375702726617,31.624963807195005,True
27,238.17706573004034,20.084901549890834,0.348662651498568,-97.01554061792989,-101.81554061792988,2.8469024911231378,110.66244310905303,35.01299035613479,True
28,227.3890327308273,18.225112656921816,0.2404661619917089,-38.5238170552591,-43.323817055259106,2.5942973604407924,51.9181144156999,42.19482778423099,True
29,221.45591414657864,17.748444479142947,0.18989852013375402,-19.077912462511122,-23.877912462511123,4.58694578533581,34.464858247846934,46.012936898077314,True
30,244.7574886544329,13.200216028695653,0.21460465339778756,-28.87796763797854,-33.67796763797854,3.1361613538600044,42.814128991838544,38.52572359193955,True
