nside,bmin_deg,flux_cut_mjy,footprint_flux_mjy,f_sky,n_src,dipole_amp,dipole_l_deg,dipole_b_deg,angle_to_cmb_deg,delta_dir_deg_vs_prev,delta_amp_vs_prev
128,10.0,10.0,10.0,0.4131317138671875,911020,0.05677371719020396,129.48766051652598,48.52319715007276,75.53981951137445,nan,nan
128,10.0,20.0,10.0,0.4131317138671875,571286,0.02915730698875982,140.34148408252707,61.24766572836425,61.543562426336656,14.130725458486877,-0.027616410201444137
128,10.0,30.0,10.0,0.4131317138671875,430292,0.01998924171266582,159.10015646932217,73.81938269552091,48.02838371441143,14.32588663990322,-0.009168065276094001
128,10.0,40.0,10.0,0.4131317138671875,349178,0.01627558644341488,241.3333438907179,83.60231447152108,35.913946996847265,16.543573652662523,-0.0037136552692509407
128,10.0,60.0,10.0,0.4131317138671875,256696,0.013174208107095063,300.25295613322317,71.1828495489737,28.42352036849632,16.42061236928155,-0.003101378336319816
128,10.0,80.0,10.0,0.4131317138671875,204387,0.013550375893454494,66.17116709475305,80.64525143450905,50.717152363774325,25.417022327164066,0.00037616778635943086
128,20.0,10.0,10.0,0.3405710856119792,750744,0.0669295332144718,127.38602193404597,42.90377817799253,81.17940792495514,nan,nan
128,20.0,20.0,10.0,0.3405710856119792,471142,0.03621904054694792,133.4667073154189,50.09378954271008,72.86654953165143,8.31315407150652,-0.030710492667523882
128,20.0,30.0,10.0,0.3405710856119792,354797,0.026359244649819206,136.07264255928683,55.48785818594321,67.4932623765295,5.618515173503413,-0.009859795897128713
128,20.0,40.0,10.0,0.3405710856119792,288091,0.019768792548984587,139.17910541340268,64.4680951615314,59.38457436961655,9.11100936977374,-0.0065904521008346185
128,20.0,60.0,10.0,0.3405710856119792,211883,0.012659813630156551,202.19001975823068,82.06860734816416,38.525754943454125,22.970736837478103,-0.007108978918828036
128,20.0,80.0,10.0,0.3405710856119792,168707,0.012003095542618894,156.636713793876,86.11947229239013,43.036574219240755,5.900184901989951,-0.0006567180875376565
128,30.0,10.0,10.0,0.2608744303385417,575049,0.08731104619382145,124.07498740218938,33.180052364910416,91.04561480096966,nan,nan
128,30.0,20.0,10.0,0.2608744303385417,361162,0.05042288874371326,128.24860763145892,33.19720569730003,89.4701462530938,3.4926005644441993,-0.03688815745010819
128,30.0,30.0,10.0,0.2608744303385417,272270,0.03630801529994345,129.66841646767145,34.0639608512261,88.14920135326113,1.4658461579337103,-0.014114873443769806
128,30.0,40.0,10.0,0.2608744303385417,221201,0.027282799395087282,124.93457174932169,33.82399301427358,90.15509363662237,3.9340918785552823,-0.009025215904856169
128,30.0,60.0,10.0,0.2608744303385417,162671,0.020245732790738442,107.66761382521712,33.07798585909316,95.96268322900275,14.409242357388157,-0.00703706660434884
128,30.0,80.0,10.0,0.2608744303385417,129596,0.0206967140394836,102.43212150295297,27.838414391212897,102.13620976504971,6.912858402643944,0.000450981248745156
