name,variant,survey,band,freq_MHz,flux_or_mag_cut,D_obs,D_obs_err,RA_deg,RA_err_deg,Dec_deg,Dec_err_deg,l_deg,b_deg,sigma_dir_deg_approx,x_count_slope,alpha_spectral,beta_assumed,D_kin_from_x_alpha,D_ratio_obs_over_kin,reference,notes,z_mean,z_notes
CatWISE,2MRS_clean,CatWISE AGN (2MRS z<0.02 matched sources removed; negligible effect),mid-IR,,Same as baseline; 66 matches to 2MRS z<0.02 removed (paper notes negligible change),0.0151,0.0016,141.0,5.0,-6.0,6.0,238.4326941096269,29.932237492808586,7.792743099138619,1.9,1.07,0.00123,0.00729759,2.069176262300294,"Wagenveld et al. 2025 (A&A 697 A112), arXiv:2503.02470",Not listed as separate 'a' row in Table 1; included here for convenience as change is negligible.,1.2,From Dam et al. 2022/2023 CatWISE quasar sample: mean z≈1.2; 99% z>0.1; 61% z>1 (selection differs slightly).
LoTSS_DR2,2MRS_clean,"LoTSS-DR2 (NB estimator, direction fixed to CMB; Smin=5 mJy)",radio,144.0,Smin = 5 mJy (Table III); direction fixed to CMB ('CMB' row),0.0139,0.00435,167.94,90.0,-6.94,90.0,264.01504238929476,48.255456826101636,127.27922061357856,0.74,-0.73,0.00123,0.00405,3.432098765432099,"Böhme et al. 2025 (arXiv:2509.16732v1; PRL), Tables II–III","LoTSS-DR2 'Free' direction estimates are flagged as problematic in the paper; we therefore use the 'CMB' constrained estimator (Table III), which fixes the dipole direction to the CMB dipole and estimates only the amplitude. To avoid accidentally overweighting a fixed direction in Protocol D, RA/Dec uncertainties are set large (90°) so this tracer contributes mainly via amplitude.",1,Wide redshift distribution; not needed for Protocol D fit. | Shared radio z_mean=1 assumed (Protocol D-BAO v0 sensitivity scaffold).
NVSS,2MRS_clean,"NVSS (NB estimator, Free direction; Smin=20 mJy)",radio,1400.0,Smin = 20 mJy (Table III); galactic mask and standard cuts as in paper,0.0154,0.0036,148.1,13.5,-9.5,15.8,246.80700071436257,33.23175935112015,20.78196333362178,0.88,-0.73,0.00123,0.00435,3.540229885057472,"Böhme et al. 2025 (arXiv:2509.16732v1; PRL), Tables II–III",Using the negative-binomial (NB) estimator values for NVSS with a free dipole direction (Table III). For variant=2MRS_clean we keep identical numbers because this pack uses published summary estimates rather than catalog-level re-matching.,1,Wide redshift distribution; not needed for Protocol D fit. | Shared radio z_mean=1 assumed (Protocol D-BAO v0 sensitivity scaffold).
CatWISE,baseline,CatWISE AGN (W1-W2 ≥ 0.8; W1<16.5),mid-IR,,W1 < 16.5 (≈0.078 mJy); |b|≥30°; plus Secrest et al. masks; ecliptic-latitude trend modelled,0.0151,0.0016,141.0,5.0,-6.0,6.0,238.4326941096269,29.932237492808586,7.792743099138619,1.9,1.07,0.00123,0.00729759,2.069176262300294,"Wagenveld et al. 2025 (A&A 697 A112), arXiv:2503.02470",x and α from Sec. 3.3; Table 1 includes ε=(9.2±0.4)×10^-4 for ecliptic-latitude trend.,1.2,From Dam et al. 2022/2023 CatWISE quasar sample: mean z≈1.2; 99% z>0.1; 61% z>1 (selection differs slightly).
LoTSS_DR2,baseline,"LoTSS-DR2 (NB estimator, direction fixed to CMB; Smin=5 mJy)",radio,144.0,Smin = 5 mJy (Table III); direction fixed to CMB ('CMB' row),0.0139,0.00435,167.94,90.0,-6.94,90.0,264.01504238929476,48.255456826101636,127.27922061357856,0.74,-0.73,0.00123,0.00405,3.432098765432099,"Böhme et al. 2025 (arXiv:2509.16732v1; PRL), Tables II–III","LoTSS-DR2 'Free' direction estimates are flagged as problematic in the paper; we therefore use the 'CMB' constrained estimator (Table III), which fixes the dipole direction to the CMB dipole and estimates only the amplitude. To avoid accidentally overweighting a fixed direction in Protocol D, RA/Dec uncertainties are set large (90°) so this tracer contributes mainly via amplitude.",1,Wide redshift distribution; not needed for Protocol D fit. | Shared radio z_mean=1 assumed (Protocol D-BAO v0 sensitivity scaffold).
NVSS,baseline,"NVSS (NB estimator, Free direction; Smin=20 mJy)",radio,1400.0,Smin = 20 mJy (Table III); galactic mask and standard cuts as in paper,0.0154,0.0036,148.1,13.5,-9.5,15.8,246.80700071436257,33.23175935112015,20.78196333362178,0.88,-0.73,0.00123,0.00435,3.540229885057472,"Böhme et al. 2025 (arXiv:2509.16732v1; PRL), Tables II–III",Using the negative-binomial (NB) estimator values for NVSS with a free dipole direction (Table III). For variant=2MRS_clean we keep identical numbers because this pack uses published summary estimates rather than catalog-level re-matching.,1,Wide redshift distribution; not needed for Protocol D fit. | Shared radio z_mean=1 assumed (Protocol D-BAO v0 sensitivity scaffold).
