iter,l_deg,b_deg,beta,chi2_bao,chi2_null,dAICc,delta_to_cmb_deg,coh_mean_deg,coh_std_deg
0,217.69905309364296,25.658101804504952,0.2535410523414612,11.96649169921875,66.01343536376953,-43.246944427490234,42.47687061279023,19.27738298232181,7.093232762888005
1,235.372069882366,7.7971682691800694,0.26687493920326233,8.283645629882812,66.85930633544922,-47.77566146850586,47.14514213109912,38.689192670230405,19.563267713383983
2,227.68795270833212,8.440238104946555,0.22982977330684662,6.158821105957031,48.753299713134766,-31.794479370117188,50.20115180066156,42.552972570803334,25.633744526193617
3,242.9683950077745,7.527384585374116,0.19489462673664093,10.443862915039062,41.98705291748047,-20.74319076538086,44.45658031071376,29.102187047165135,10.539526903069373
4,254.06510248874713,14.87895141268925,0.17275473475456238,8.405389785766602,34.28596115112305,-15.080570220947266,34.37027768614084,35.626690845850845,21.422628849665735
5,234.5772780213524,33.92526549079139,0.2540254592895508,10.226829528808594,69.26305389404297,-48.23622512817383,26.16402742054031,43.953095689767274,30.931891572164368
6,237.07450653844734,29.114439269516122,0.23655472695827484,4.7153167724609375,55.83373260498047,-40.318416595458984,28.167429175321057,15.582873874222244,12.305689586104148
7,241.23365752171281,6.38577859543646,0.2920531630516052,4.8848724365234375,75.00408172607422,-59.319210052490234,46.128281506993474,22.75316218600602,14.20759697621383
8,244.29321635564298,24.044398133409267,0.2425002008676529,6.910793304443359,60.37743377685547,-42.66664123535156,28.792558301122,36.227230692835015,20.886198220680505
9,231.79115242850884,26.807859290413326,0.21856264770030975,7.051700592041016,49.890708923339844,-32.03900909423828,32.94440755319041,30.483304613502185,15.993001711042744
10,227.72751021912939,45.60678264976729,0.24716134369373322,4.240570068359375,58.6867790222168,-43.646209716796875,24.692267213616628,21.485152747737448,10.916136546910998
11,233.20376643892712,11.517464608785867,0.26240381598472595,8.137493133544922,65.90505981445312,-46.967567443847656,44.823244627760346,30.16591768846958,21.269886075066687
12,231.08415123837787,2.5409460222901936,0.2592894732952118,6.312007904052734,58.7625732421875,-41.65056610107422,53.74718410580076,35.843398361691165,20.059608072042934
13,233.3648274735906,19.586053539773964,0.27928534150123596,9.020332336425781,77.46626281738281,-57.645931243896484,37.837758858208204,38.48289743301833,17.725014912839743
14,248.66891946414688,-1.6618096739079116,0.210440531373024,12.825607299804688,46.896549224853516,-23.27094268798828,51.67095827394685,16.289683150604354,12.077288251152273
15,234.25607911865404,6.860040320461667,0.2864566147327423,7.609527587890625,74.44774627685547,-56.0382194519043,48.47274001372437,17.27500040228,3.7896279969739615
16,230.12876869378582,25.474611175755886,0.1833554357290268,11.808317184448242,41.682865142822266,-19.074546813964844,34.927822192649145,31.316274354523426,16.660236166409742
17,227.57558817231748,30.110326390353954,0.28275975584983826,5.23663330078125,76.4820556640625,-60.4454231262207,33.108999887817156,26.47069144991742,15.579518004161365
18,236.39980735616714,-14.549847290186008,0.25639408826828003,7.057395935058594,51.25290298461914,-33.3955078125,67.44297579765046,31.05276909361413,33.277330986451844
19,224.42777650696493,38.68218785643844,0.26895397901535034,5.357521057128906,69.56324005126953,-53.40571975708008,29.906639348596098,30.76918213013701,19.794715245055322
