pack,variant,n_quaia,R2,intercept,coef_bmin_c,coef_mag_c,coef_pm_sig,coef_pm_tot,coef_pm_none,coef_z,coef_is_pmcut
boehme,baseline,27,0.6951671057001407,-0.017603294958052032,0.0005976850590249335,-0.009259642819686359,-0.00034022075617262145,0.0005821954673586518,0.002384783918802467,0.00121700630360041,0.0026191274873826717
boehme,2MRS_clean,27,0.6950035043721343,-0.01756661698537752,0.0005970241281664639,-0.009269373900365295,-0.0003387206305063479,0.0005816986819660493,0.0023900273978046146,0.0012046532335560848,0.0026167535691266133
wagenveld,baseline,27,0.6900022133755626,-0.014862392638824445,0.0006061884671497691,-0.009088024429554462,-0.00034221263205088125,0.0005911005577177549,0.002360043589210153,0.0003876781015562595,0.002547634823579106
wagenveld,2MRS_clean,27,0.688407458805129,-0.014306447677866457,0.0006105174095260948,-0.008793092950341088,-0.0003609290104144352,0.0005746501576117412,0.0022763169056825767,0.00013732557042018438,0.002556474170126236
