pack,variant,obs_name,group,is_quaia,bmin,mag_num,pm_sig_max,pm_tot_max,pm_is_none,z_mean,c1,w_bao
boehme,2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p0_1p5,quaia_bin,1,,,,,0,1.2593244815869629,-0.01858359387135683,0.037788479366085766
boehme,2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p5_3p0,quaia_bin,1,,,,,0,2.063375928734873,-0.015186838834301148,0.027893503000458914
boehme,2MRS_clean,Quaia_maskscan_G20.0_bmin20,quaia_maskscan,1,20.0,,,,0,1.5216184854507446,-0.019073546083038854,0.03338237692235073
boehme,2MRS_clean,Quaia_maskscan_G20.0_bmin25,quaia_maskscan,1,25.0,,,,0,1.525849223136902,-0.01629982215538278,0.03332402739686681
boehme,2MRS_clean,Quaia_maskscan_G20.0_bmin30,quaia_maskscan,1,30.0,,,,0,1.529037594795227,-0.012211444387984131,0.03328027277260123
boehme,2MRS_clean,Quaia_maskscan_G20.0_bmin35,quaia_maskscan,1,35.0,,,,0,1.531247854232788,-0.01046778990596971,0.033250050621271635
boehme,2MRS_clean,Quaia_maskscan_G20.5_bmin20,quaia_maskscan,1,20.0,,,,0,1.5471723079681396,-0.024788836484286845,0.03303492283183039
boehme,2MRS_clean,Quaia_maskscan_G20.5_bmin25,quaia_maskscan,1,25.0,,,,0,1.5523033142089844,-0.02088725750728932,0.032966570487085095
boehme,2MRS_clean,Quaia_maskscan_G20.5_bmin30,quaia_maskscan,1,30.0,,,,0,1.55604088306427,-0.017845491347876725,0.03291707161611928
boehme,2MRS_clean,Quaia_maskscan_G20.5_bmin35,quaia_maskscan,1,35.0,,,,0,1.5588762760162354,-0.015735375146552707,0.032879683102633325
boehme,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,quaia_pmcut,1,30.0,20.0,2.0,1.0,0,1.529037594795227,-0.015602883381509284,0.03328027277260123
boehme,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_sig<2,quaia_pmcut,1,30.0,20.0,2.0,,0,1.529037594795227,-0.015916126317755134,0.03328027277260123
boehme,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,quaia_pmcut,1,30.0,20.0,,0.5,0,1.529037594795227,-0.01233118278408423,0.03328027277260123
boehme,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_sig<3,quaia_pmcut,1,30.0,20.0,3.0,,0,1.529037594795227,-0.01180025961199633,0.03328027277260123
boehme,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<1,quaia_pmcut,1,30.0,20.0,,1.0,0,1.529037594795227,-0.010810579482318344,0.03328027277260123
boehme,2MRS_clean,Quaia_pmcut_G20.0_bmin30_none,quaia_pmcut,1,30.0,20.0,,,1,1.529037594795227,-0.010525001971522193,0.03328027277260123
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,quaia_pmcut,1,30.0,20.5,,0.5,0,1.55604088306427,-0.017610955173201735,0.03291707161611928
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<2,quaia_pmcut,1,30.0,20.5,2.0,,0,1.55604088306427,-0.02040291002510315,0.03291707161611928
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,quaia_pmcut,1,30.0,20.5,2.0,1.0,0,1.55604088306427,-0.019589755727019462,0.03291707161611928
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<3,quaia_pmcut,1,30.0,20.5,3.0,,0,1.55604088306427,-0.017050902076974683,0.03291707161611928
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,quaia_pmcut,1,30.0,20.5,3.0,1.0,0,1.55604088306427,-0.0167161680260791,0.03291707161611928
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_none,quaia_pmcut,1,30.0,20.5,,,1,1.55604088306427,-0.015512907251425307,0.03291707161611928
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1,quaia_pmcut,1,30.0,20.5,,1.0,0,1.55604088306427,-0.016236216798658533,0.03291707161611928
boehme,2MRS_clean,Quaia_G20.5_pmSiglt2_z0p6p1p0,quaia_zbin_G20.5,1,30.0,20.5,2.0,,0,0.8184481912564778,-0.024555399809520758,0.05179932080859573
boehme,2MRS_clean,Quaia_G20.5_pmSiglt2_z1p0p1p5,quaia_zbin_G20.5,1,30.0,20.5,2.0,,0,1.2607082545033923,-0.018566289953306746,0.03776028513879305
boehme,2MRS_clean,Quaia_G20.5_pmSiglt2_z1p5p3p0,quaia_zbin_G20.5,1,30.0,20.5,2.0,,0,2.057584213322741,-0.020343051053193006,0.02793662036191585
wagenveld,baseline,NVSS,nonquaia,0,,,,,0,1.0,0.0,0.04449383069146858
