pack,variant,case,N,dAICc,g_l,g_b,ang_to_CMB_deg,loo_mean_ang_deg,loo_std_ang_deg,beta
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+all,6,-47.61430974943545,264.0538853301646,51.388823004132526,3.1358946866433146,10.854181320319315,9.864125109241236,0.20509340178110563
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,Quaia_only_all3,3,-18.77337958876728,342.80676880593194,51.16142972996293,48.520571963204695,,,0.437816988866529
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,nonQuaia_only,3,-34.16403632254857,237.02091012498414,37.276568304995344,22.488288986788216,,,0.20285475880368414
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+low,4,-37.1089788068287,241.72817998492457,41.451156378962025,17.125822823830617,14.960775172813754,14.28245950743131,0.1985881823810182
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+mid,4,-32.17199761681273,247.46943803699332,44.6033999684484,11.95009117239001,18.310556785603957,15.959677440893978,0.18449044380950855
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+high,4,-38.078645789198845,247.83403866230464,45.80595552775824,11.278599465831888,16.441372815392537,13.593938305020524,0.19941170583250195
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+low+mid,5,-35.30836705992584,252.59092824767907,47.765496404614844,7.655254224968239,14.261311927130356,13.712971922774866,0.18498522579513216
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+mid+high,5,-37.438884211368496,259.5848244022076,51.20811034212994,4.116213943960501,14.522434959838648,12.188636183667676,0.19048433641173584
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+all,6,-40.81307496984939,264.2590352594085,53.055682170567295,4.805045064243378,11.475938324988261,10.81417664327803,0.19274558171263556
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,Quaia_only_all3,3,-18.77337958876728,342.80676880593194,51.16142972996293,48.520571963204695,,,0.437816988866529
