pack,variant,baseline_dAICc_N_minus_M,lambda_cross_0_est,s2_true_l,s2_true_b
boehme,baseline,24.118839573081992,0.00565779741202744,323.0278577464271,-35.829596972634356
boehme,2MRS_clean,24.027563289377788,0.004776636751650779,284.50807859989163,8.820855501412384
wagenveld,baseline,24.032697578880153,0.005745355125593765,292.7503368525981,-3.303944233585554
wagenveld,2MRS_clean,23.845410194332374,0.004683856851106359,163.46018409597582,47.60279430171214
