pack,variant,ang_default,ang_sigma90,dAICc_default,dAICc_sigma90
boehme_zbins_G20p0_pmSig2,baseline,6.196080022456993,18.803937838143142,-36.91269431087952,-50.89482319334834
boehme_zbins_G20p0_pmSig2,2MRS_clean,6.196080022456993,18.803937838143142,-36.91269431087952,-50.89482319334834
wagen_zbins_G20p0_pmSig2,baseline,3.001663901346501,9.328889445303883,-47.7711070382691,-59.425100859111375
wagen_zbins_G20p0_pmSig2,2MRS_clean,4.647942974593001,9.001567593389467,-40.92799438536846,-51.384554911127104
